PERINGKAT,NAMA PROVINSI,NAMA KABUPATEN,NAMA KECAMATAN,"K0DE DESA DAGRI 72/2019",NAMA DESA,"NILAI IDM 2021","STATUS IDM DESA 2021"
"63,022",LAMPUNG,LAMPUNG UTARA,SUNGKAI SELATAN,1803032004,SINAR GALIH,0.5527,TERTINGGAL
"63,023",MALUKU,MALUKU BARAT DAYA,DAMER,8108022003,KUAIMELU,0.5527,TERTINGGAL
"63,024",MALUKU,SERAM BAGIAN BARAT,TANIWEL,8106032034,NINIARI,0.5527,TERTINGGAL
"63,025",NUSA TENGGARA TIMUR,MALAKA,MALAKA TIMUR,5321092006,SANLEO,0.5527,TERTINGGAL
"63,026",NUSA TENGGARA TIMUR,SUMBA TIMUR,PABERIWAI,5311122002,MEHANG MATA,0.5527,TERTINGGAL
"63,027",PAPUA,MIMIKA,AMAR,9109172002,KAWAR,0.5527,TERTINGGAL
"63,028",SULAWESI BARAT,MAMASA,SUMARORONG,7603062006,SIBANAWA,0.5527,TERTINGGAL
"63,029",SULAWESI BARAT,MAMASA,TANDUK KALUA,7603092015,KANAN,0.5527,TERTINGGAL
"63,030",SULAWESI SELATAN,LUWU,LAMASI TIMUR,7317182007,PELALAN,0.5527,TERTINGGAL
"63,031",SULAWESI UTARA,MINAHASA SELATAN,AMURANG BARAT,7105172007,ELUSAN,0.5527,TERTINGGAL
"63,032",SUMATERA BARAT,SOLOK,TIGO LURAH,1302182002,BATU BAJANJANG,0.5527,TERTINGGAL
"63,033",SUMATERA SELATAN,BANYUASIN,AIR KUMBANG,1607192010,MUARA BARU,0.5527,TERTINGGAL
