"69,395",SUMATERA UTARA,NIAS UTARA,NAMOHALU ESIWA,1224052006,SISOBAHILI,0.4895,SANGAT TERTINGGAL
"69,396",SUMATERA UTARA,PADANG LAWAS UTARA,DOLOK,1220022002,SINGANYAL,0.4895,SANGAT TERTINGGAL
"69,397",ACEH,ACEH UTARA,NISAM ANTARA,1108272002,SEUMIRAH,0.4894,SANGAT TERTINGGAL
"69,398",PAPUA BARAT,FAK FAK,KAYAUNI,9203152004,HOMORKOKMA,0.4894,SANGAT TERTINGGAL
"69,399",PAPUA BARAT,FAK FAK,KAYAUNI,9203152005,PATTUKAR,0.4894,SANGAT TERTINGGAL
"69,400",SULAWESI TENGAH,MOROWALI UTARA,MAMOSALATO,7212092006,UEPAKATU,0.4894,SANGAT TERTINGGAL
"69,401",SUMATERA UTARA,NIAS BARAT,MANDREHE UTARA,1225062009,ONONAMOLO II,0.4894,SANGAT TERTINGGAL
"69,402",SUMATERA UTARA,NIAS SELATAN,TANAH MASA,1214312010,SAERU MELAYU,0.4894,SANGAT TERTINGGAL
"69,403",ACEH,ACEH TAMIANG,BANDAR PUSAKA,1116102005,PERKEBUNAN  ALUR JAMBU,0.4892,SANGAT TERTINGGAL
"69,404",SULAWESI TENGAH,TOJO UNA UNA,ULUBONGKA,7209062019,KASIALA,0.4892,SANGAT TERTINGGAL
"69,405",PAPUA,MAPPI,HAJU,9117052008,KAIBU,0.4890,SANGAT TERTINGGAL
"69,406",PAPUA,YALIMO,ABENAHO,9122032010,SEBI,0.4890,SANGAT TERTINGGAL
"69,407",PAPUA,ASMAT,SAWA ERMA,9118032043,MUMUGU DUA,0.4890,SANGAT TERTINGGAL
"69,408",PAPUA,JAYAWIJAYA,WITA WAYA,9102502002,TULEM,0.4890,SANGAT TERTINGGAL
"69,409",SULAWESI BARAT,MAMASA,TABANG,7603102008,SALUKONA,0.4890,SANGAT TERTINGGAL
"69,410",SULAWESI TENGGARA,KONAWE SELATAN,LAONTI,7405112001,LABAUN BEROPA,0.4890,SANGAT TERTINGGAL
"69,411",SULAWESI TENGGARA,KONAWE SELATAN,LAONTI,7405112018,RUMBI-RUMBIA,0.4890,SANGAT TERTINGGAL
"69,412",SUMATERA UTARA,NIAS,HILIDUHO,1204052033,ONOZITOLIDULU,0.4890,SANGAT TERTINGGAL
